[2025-07-03 23:16:20] [INFO    ] discord.client: logging in using static token
[2025-07-03 23:16:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-03 23:16:21] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-03 23:16:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1390300529447534765', 'username': 'SUIT Server Bot', 'avatar': 'db144ed787fce3d1c115af3464381ed7', 'discriminator': '8159', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '05032c1e116f1717258b4b8dc45c56e8', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-03 23:16:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-03 23:16:21] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-03 23:16:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1390300529447534765', 'name': 'SUIT Server Bot', 'icon': 'db144ed787fce3d1c115af3464381ed7', 'description': 'it is me kanye\nif you want to talk to me you have to mention my glorious name\n\nbot developed by caleb', 'type': None, 'bot': {'id': '1390300529447534765', 'username': 'SUIT Server Bot', 'avatar': 'db144ed787fce3d1c115af3464381ed7', 'discriminator': '8159', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '05032c1e116f1717258b4b8dc45c56e8', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '562949953522754'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '562949953522754'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'a8d1a1681aac7e5927a339aa2943c1d6ad0a6f867977b5d01906228778cd4e2b', 'flags': 565248, 'tags': ['kanye'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1053711223151132732', 'username': 'cronchiboi', 'avatar': '448ff166eefdbaf8ad3bab23aaf207c3', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 3914164, 'global_name': 'ilovekanyenotye', 'avatar_decoration_data': {'asset': 'a_fdfc12b31565ba9f4b54926a01a188d9', 'sku_id': '1385015130466680995', 'expires_at': 1756422000}, 'collectibles': None, 'banner_color': '#3bb9b4', 'clan': {'identity_guild_id': '1389414654849060947', 'identity_enabled': True, 'tag': 'SUIT', 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}, 'primary_guild': {'identity_guild_id': '1389414654849060947', 'identity_enabled': True, 'tag': 'SUIT', 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 230, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-03 23:16:21] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-03 23:16:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-n5hn",{"micros":0.0}]']}}
[2025-07-03 23:16:21] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-03 23:16:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-03 23:16:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'SUIT Server Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1390300529447534765', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8159', 'clan': None, 'bot': True, 'avatar': 'db144ed787fce3d1c115af3464381ed7'}, 'session_type': 'normal', 'session_id': '4fb3e02e215b2d61662be397f3cc555f', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1389414654849060947'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'newark', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1390300529447534765', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-c-n5hn",{"micros":76873,"calls":["id_created",{"micros":405,"calls":[]},"session_lookup_time",{"micros":2868,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-2",{"micros":73200,"calls":["start_session",{"micros":50703,"calls":["discord-api-rpc-6689799bb6-jq6mw",{"micros":38328,"calls":["get_user",{"micros":11352},"get_guilds",{"micros":2645},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":264},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":3586},"apex_experiments",{"micros":2182},"user_activities",{"micros":4},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":287,"calls":[]},"guilds_started",{"micros":79,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":22081,"calls":[]},"connect_finished",{"micros":22085,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-03 23:16:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-03 23:16:21] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 4fb3e02e215b2d61662be397f3cc555f).
[2025-07-03 23:16:21] [DEBUG   ] discord.client: Dispatching event connect
